date,open,high,low,close,volume,cap
2022-03-29,47122.21000000,48096.47000000,46950.85000000,47434.80000000,36772.28457000,36772.28457000
2022-03-30,47434.79000000,47700.22000000,46445.42000000,47067.99000000,40947.20850000,40947.20850000
2022-03-31,47067.99000000,47600.00000000,45200.00000000,45510.34000000,48645.12667000,48645.12667000
2022-04-01,45510.35000000,46720.09000000,44200.00000000,46283.49000000,56271.06474000,56271.06474000
2022-04-02,46283.49000000,47213.00000000,45620.00000000,45811.00000000,37073.53582000,37073.53582000
2022-04-03,45810.99000000,47444.11000000,45530.92000000,46407.35000000,33394.67794000,33394.67794000
2022-04-04,46407.36000000,46890.71000000,45118.00000000,46580.51000000,44641.87514000,44641.87514000
2022-04-05,46580.50000000,47200.00000000,45353.81000000,45497.55000000,42192.74852000,42192.74852000
2022-04-06,45497.54000000,45507.14000000,43121.00000000,43170.47000000,60849.32936000,60849.32936000
2022-04-07,43170.47000000,43900.99000000,42727.35000000,43444.19000000,37396.54156000,37396.54156000
2022-04-08,43444.20000000,43970.62000000,42107.14000000,42252.01000000,42375.04203000,42375.04203000
2022-04-09,42252.02000000,42800.00000000,42125.48000000,42753.97000000,17891.66047000,17891.66047000
2022-04-10,42753.96000000,43410.30000000,41868.00000000,42158.85000000,22771.09403000,22771.09403000
2022-04-11,42158.85000000,42414.71000000,39200.00000000,39530.45000000,63560.44721000,63560.44721000
2022-04-12,39530.45000000,40699.00000000,39254.63000000,40074.94000000,57751.01778000,57751.01778000
2022-04-13,40074.95000000,41561.31000000,39588.54000000,41147.79000000,41342.27254000,41342.27254000
2022-04-14,41147.78000000,41500.00000000,39551.94000000,39942.38000000,36807.01401000,36807.01401000
2022-04-15,39942.37000000,40870.36000000,39766.40000000,40551.90000000,24026.35739000,24026.35739000
2022-04-16,40551.90000000,40709.35000000,39991.55000000,40378.71000000,15805.44718000,15805.44718000
2022-04-17,40378.70000000,40595.67000000,39546.17000000,39678.12000000,19988.49259000,19988.49259000
2022-04-18,39678.11000000,41116.73000000,38536.51000000,40801.13000000,54243.49575000,54243.49575000
2022-04-19,40801.13000000,41760.00000000,40571.00000000,41493.18000000,35788.85843000,35788.85843000
2022-04-20,41493.19000000,42199.00000000,40820.00000000,41358.19000000,40877.35041000,40877.35041000
2022-04-21,41358.19000000,42976.00000000,39751.00000000,40480.01000000,59316.27657000,59316.27657000
2022-04-22,40480.01000000,40795.06000000,39177.00000000,39709.18000000,46664.01960000,46664.01960000
2022-04-23,39709.19000000,39980.00000000,39285.00000000,39441.60000000,20291.42375000,20291.42375000
2022-04-24,39441.61000000,39940.00000000,38929.62000000,39450.13000000,26703.61186000,26703.61186000
2022-04-25,39450.12000000,40616.00000000,38200.00000000,40426.08000000,63037.12784000,63037.12784000
2022-04-26,40426.08000000,40797.31000000,37702.26000000,38112.65000000,66650.25800000,66650.25800000
2022-04-27,38112.64000000,39474.72000000,37881.31000000,39235.72000000,57083.12272000,57083.12272000
2022-04-28,39235.72000000,40372.63000000,38881.43000000,39742.07000000,56086.67150000,56086.67150000
2022-04-29,39742.06000000,39925.25000000,38175.00000000,38596.11000000,51453.65715000,51453.65715000
2022-04-30,38596.11000000,38795.38000000,37578.20000000,37630.80000000,35321.18989000,35321.18989000
2022-05-01,37630.80000000,38675.00000000,37386.38000000,38468.35000000,38812.24104000,38812.24104000
2022-05-02,38468.35000000,39167.34000000,38052.00000000,38525.16000000,53200.92628000,53200.92628000
2022-05-03,38525.16000000,38651.51000000,37517.80000000,37728.95000000,40316.45358000,40316.45358000
2022-05-04,37728.95000000,40023.77000000,37670.00000000,39690.00000000,62574.61736000,62574.61736000
2022-05-05,39690.00000000,39845.51000000,35571.90000000,36552.97000000,88722.43355000,88722.43355000
2022-05-06,36552.97000000,36675.63000000,35258.00000000,36013.77000000,68437.80187000,68437.80187000
2022-05-07,36013.77000000,36146.30000000,34785.00000000,35472.39000000,34281.70682000,34281.70682000
2022-05-08,35472.40000000,35514.22000000,33713.95000000,34038.40000000,72445.64344000,72445.64344000
2022-05-09,34038.39000000,34243.15000000,30033.33000000,30076.31000000,191876.92642800,191876.92642800
2022-05-10,30074.23000000,32658.99000000,29730.40000000,31017.10000000,165532.00311000,165532.00311000
2022-05-11,31017.11000000,32162.59000000,27785.00000000,29103.94000000,207063.73927800,207063.73927800
2022-05-12,29103.94000000,30243.00000000,26700.00000000,29029.75000000,204507.26313800,204507.26313800
2022-05-13,29029.74000000,31083.37000000,28751.67000000,29287.05000000,97872.36957000,97872.36957000
2022-05-14,29287.05000000,30343.27000000,28630.00000000,30086.74000000,51095.87863000,51095.87863000
2022-05-15,30086.74000000,31460.00000000,29480.00000000,31328.89000000,46275.66912000,46275.66912000
2022-05-16,31328.89000000,31328.90000000,29087.04000000,29874.01000000,73082.19658000,73082.19658000
2022-05-17,29874.01000000,30788.37000000,29450.38000000,30444.93000000,56724.13307000,56724.13307000
2022-05-18,30444.93000000,30709.99000000,28654.47000000,28715.32000000,59749.15799000,59749.15799000
2022-05-19,28715.33000000,30545.18000000,28691.38000000,30319.23000000,67877.36415000,67877.36415000
2022-05-20,30319.22000000,30777.33000000,28730.00000000,29201.01000000,60517.25325000,60517.25325000
2022-05-21,29201.01000000,29656.18000000,28947.28000000,29445.06000000,20987.13124000,20987.13124000
2022-05-22,29445.07000000,30487.99000000,29255.11000000,30293.94000000,36158.98748000,36158.98748000
2022-05-23,30293.93000000,30670.51000000,28866.35000000,29109.15000000,63901.49932000,63901.49932000
2022-05-24,29109.14000000,29845.86000000,28669.00000000,29654.58000000,59442.96036000,59442.96036000
2022-05-25,29654.58000000,30223.74000000,29294.21000000,29542.15000000,59537.38659000,59537.38659000
2022-05-26,29542.14000000,29886.64000000,28019.56000000,29201.35000000,94581.65463000,94581.65463000
2022-05-27,29201.35000000,29397.66000000,28282.90000000,28629.80000000,90998.52010000,90998.52010000
2022-05-28,28629.81000000,29266.00000000,28450.00000000,29031.33000000,34479.35127000,34479.35127000
2022-05-29,29031.33000000,29587.78000000,28839.21000000,29468.10000000,27567.34764000,27567.34764000
2022-05-30,29468.10000000,32222.00000000,29299.62000000,31734.22000000,96785.94760000,96785.94760000
2022-05-31,31734.23000000,32399.00000000,31200.01000000,31801.04000000,62433.11632000,62433.11632000
2022-06-01,31801.05000000,31982.97000000,29301.00000000,29805.83000000,103395.63382000,103395.63382000
2022-06-02,29805.84000000,30689.00000000,29594.55000000,30452.62000000,56961.42928000,56961.42928000
2022-06-03,30452.63000000,30699.00000000,29282.36000000,29700.21000000,54067.44727000,54067.44727000
2022-06-04,29700.21000000,29988.88000000,29485.00000000,29864.04000000,25617.90113000,25617.90113000
2022-06-05,29864.03000000,30189.00000000,29531.42000000,29919.21000000,23139.92810000,23139.92810000
